0	4.000000
100	3.049505
200	3.203980
300	3.096346
400	3.211970
500	3.161677
600	3.128120
700	3.149786
800	3.141074
900	3.160932
1000	3.176823
1100	3.182561
1200	3.174022
1300	3.179093
1400	3.174875
1500	3.165889
1600	3.165522
1700	3.155791
1800	3.167129
1900	3.177275
2000	3.196402
2100	3.190861
2200	3.193094
2300	3.179487
2400	3.187005
2500	3.185926
2600	3.180315
2700	3.175120
2800	3.181721
2900	3.187866
3000	3.190936
3100	3.183489
3200	3.181506
3300	3.184490
3400	3.182593
3500	3.177378
3600	3.175785
3700	3.169954
3800	3.173902
3900	3.170469
4000	3.166208
4100	3.166057
4200	3.164009
4300	3.169495
4400	3.168371
4500	3.170851
4600	3.172354
4700	3.172091
4800	3.174339
4900	3.177311
5000	3.170566
5100	3.171927
5200	3.171698
5300	3.171477
5400	3.172746
5500	3.176150
5600	3.178718
5700	3.172075
5800	3.169109
5900	3.172344
6000	3.171471
6100	3.169972
6200	3.169166
6300	3.169656
6400	3.164506
6500	3.164436
6600	3.164975
6700	3.164901
6800	3.164241
6900	3.161861
7000	3.160120
7100	3.157865
7200	3.164560
7300	3.163402
7400	3.162816
7500	3.162245
7600	3.163794
7700	3.161667
7800	3.161646
7900	3.160613
8000	3.160605
8100	3.158622
8200	3.158151
8300	3.160101
8400	3.162481
8500	3.160569
8600	3.159633
8700	3.157338
8800	3.158732
8900	3.160993
9000	3.162760
9100	3.163169
9200	3.164439
9300	3.162671
9400	3.164770
9500	3.165983
9600	3.163420
9700	3.165035
9800	3.162126
9900	3.162509
